Wing,Top Left,,,Bottom Right,
A1,39.867672,-75.504065,,39.867281,-75.503424
A2,39.867295,-75.504019,,39.866822,-75.503341
B1,39.868156,-75.503161,,39.867867,-75.502458
B2,39.868016,-75.50366,,39.867732,-75.502834
B3,39.867645,-75.50344,,39.867209,-75.502998
C1,39.867618,-75.502987,,39.867349,-75.502644
C2,39.867781,-75.502885,,39.867322,-75.502051
C3,39.867252,-75.503046,,39.867087,-75.502485
D1,39.867238,-75.502477,,39.866974,-75.501756
D2,39.86703,-75.502863,,39.86696,-75.501769
D3,39.866885,-75.502166,,39.866618,-75.501622
Music,39.866682,-75.503542,,39.866196,-75.50244
Cafeteria,39.866805,-75.502692,,39.866527,-75.502131